# Method	Non-Coalesced	Coalesced
IS	1014.99	466.61
CAS-10	994.45	431.64
CAS-100	947.44	418.27
CAS-1000	957.24	407.27
CAS-inf	918.13	401.68
"\n"	0.0	0.0
VERT-1.5	1186.11	523.33
VERT-2.0	1251.80	545.25
VERT-2.5	1260.60	564.97
VERT-3.0	1291.89	586.37
