# Method	Non-Coalesced	Coalesced
IS	183.92	110.17
CAS-10	163.02	95.31
CAS-100	154.22	91.68
CAS-1000	156.96	91.52
CAS-inf	210.42	122.12
"\n"	0.0	0.0
VERT-1.5	201.90	115.22
VERT-2.0	204.51	114.90
VERT-2.5	212.22	117.97
VERT-3.0	217.42	121.24
