# Method	Non-Coalesced	Coalesced
IS	178.30	121.48
CAS-10	176.99	121.05
CAS-100	176.69	119.86
CAS-1000	177.01	119.73
CAS-inf	751.19	403.85
"\n"	0.0	0.0
VERT-1.5	329.32	219.87
VERT-2.0	288.72	203.29
VERT-2.5	260.67	184.65
VERT-3.0	260.88	178.15
