# Method	Non-Coalesced	Coalesced
IS	68	36
CAS-10	68	36
CAS-100	68	36
CAS-1000	68	36
CAS-inf	68	36
"\n"	0.0	0.0
VERT-1.5	105	56 	
VERT-2.0	142	75
VERT-2.5	180	95
VERT-3.0	217	115
