# Method	Non-Coalesced	Coalesced
IS	70.32	61.38
CAS-10	69.44	60.46
CAS-100	68.32	58.26
CAS-1000	69.88	57.89
CAS-inf	541.59	290.13
"\n"	0.0	0.0
VERT-1.5	228.81	160.01
VERT-2.0	155.18	133.40
VERT-2.5	133.57	112.20
VERT-3.0	117.97	103.64
