# Method	Non-Coalesced	Coalesced
IS	3669.37	1666.10
CAS-10	3353.06	1706.34
CAS-100	3345.62	1685.10
CAS-1000	3345.74	1725.38
CAS-inf	3285.02	1650.84
"\n"	0.0	0.0
VERT-1.5	4276.99	2034.17
VERT-2.0	4417.10	2071.29
VERT-2.5	4561.11	2039.68
VERT-3.0	4476.95	2086.77
