# Method	Non-Coalesced	Coalesced
IS	27.29	23.84
CAS-10	14.94	11.93
CAS-100	10.29	8.40
CAS-1000	10.26	8.69
CAS-inf	64.80	39.61	
"\n"	0.0	0.0
VERT-1.5	23.84	19.64
VERT-2.0	14.15	13.05
VERT-2.5	11.93	11.18	
VERT-3.0	10.83	9.77
