# Method	Non-Coalesced	Coalesced
IS	817.11	437.00
CAS-10	805.80	434.01
CAS-100	804.00	431.53
CAS-1000	796.89	427.85
CAS-inf	1358.33	695.76
"\n"	0.0	0.0
VERT-1.5	1075.95	617.21
VERT-2.0	1065.02	585.73
VERT-2.5	1052.73	585.69
VERT-3.0	1056.26	573.03
