# Method	Non-Coalesced	Coalesced
IS	49.12	35.55
CAS-10	36.72	23.02
CAS-100	31.9	19.40
CAS-1000	31.56	19.98
CAS-inf	95.5	51.12
"\n"	0.0	0.0
VERT-1.5	46.95	34.23
VERT-2.0	40.11	26.93
VERT-2.5	38.61	25.06
VERT-3.0	39.21	24.57
